#MPI_Ssend		
#size[kB]	bandwidth[Mb/s]	bandwidth[Mb/s]
264	218.591232	205.998093
265	217.832886	188.300919
266	228.032639	136.723602
267	151.431076	143.609314
268	98.613022	149.176895
269	106.445267	218.945389
270	144.399887	218.64621
271	107.239624	223.22728
272	154.017334	218.930969
273	130.774536	222.211685
274	191.134323	224.020004
275	162.449738	164.129471
276	200.657166	178.966522
277	82.547836	202.406555
278	149.281021	111.366814
279	230.278809	158.119598
280	222.843018	197.890503
281	121.818634	150.576614
282	97.863655	86.844658
283	167.379745	154.061813
284	227.852081	92.451782
285	227.418137	98.943031
286	134.258804	209.887833
287	178.561462	220.866913
288	229.110718	223.765579
289	146.283295	160.123917
290	230.501694	197.693466
291	185.818787	218.319153
292	125.864738	220.664581
293	89.170479	209.023071
294	112.745445	231.618332
295	187.328186	226.184845
296	220.751831	212.960175
297	227.996841	200.816879
298	225.836853	158.287949
299	227.901291	227.70488
300	227.113983	222.644592
301	220.199448	218.995117
302	219.678879	231.047058
303	150.798309	225.868774
304	230.455948	231.511581
305	163.849838	225.628494
306	141.482986	225.294296
307	95.91774	227.730698
308	130.516586	219.14386
309	162.330444	224.202759
310	226.962509	228.376404
311	134.343857	228.904404
312	98.918938	173.124924
313	105.195045	108.520508
314	185.150482	221.21434
315	228.156052	225.33696
316	227.050201	221.576614
317	133.080261	232.912888
318	209.716766	117.111282
319	189.31636	100.622345
320	122.665352	150.852341
321	108.581612	223.056198
322	83.94297	218.716049
323	177.596161	215.826599
324	222.114899	217.207642
325	179.733704	219.035858
326	171.975327	215.072388
327	226.143997	223.537354
328	112.59597	208.112732
329	225.779404	215.466125
330	214.154495	169.629517
331	189.050125	163.551636
332	154.930084	158.369751
333	231.226654	150.054138
334	219.630554	165.732651
335	212.333405	216.796875
336	229.496506	226.363373
337	221.765076	218.295868
338	206.377563	161.988205
339	157.582703	137.072906
340	144.706024	93.461098
341	148.837173	84.944725
342	158.261063	92.292015
343	233.369537	220.628159
344	101.008942	215.284744
345	86.844841	222.237595
346	152.758942	228.790466
347	121.674324	215.677048
348	153.750351	138.292496
349	204.163361	221.278091
350	213.487656	161.366394
351	229.398453	121.383507
352	222.300751	89.719193
353	217.756393	82.112511
354	232.287277	76.653465
355	161.423065	126.820297
356	147.612625	231.751114
357	131.298431	211.888519
358	80.437408	222.078598
359	80.706741	214.98613
360	104.514755	173.92746
361	120.112572	166.557037
362	104.095779	213.72998
363	101.162361	223.919678
364	63.305458	216.10405
365	67.697304	222.986664
366	109.144241	216.488174
367	110.802246	216.405655
368	133.08934	224.619995
369	100.732452	223.604828
370	233.907196	155.639954
371	223.347641	91.511803
372	224.016861	126.735275
373	225.701035	128.725174
374	219.114532	172.297913
375	222.027893	193.951096
376	89.16053	151.742462
377	135.566559	153.275238
378	213.763748	86.484261
379	222.894684	93.486771
380	221.177155	140.420547
381	235.345337	86.061768
382	227.486755	111.025703
383	208.396835	198.913452
384	235.543579	217.968155
385	222.312988	230.460541
386	226.311615	221.778564
387	234.20369	222.350693
388	219.859955	226.506409
389	223.030685	212.438797
390	222.42926	215.440674
391	218.902832	151.791412
392	215.491165	206.22966
393	220.253937	207.401123
394	238.542633	219.973526
395	215.73349	234.658524
396	246.589233	219.574509
397	111.607292	227.063721
398	124.955292	221.031754
399	77.783264	227.134583
400	115.537491	216.040466
401	98.999229	224.463135
402	123.803749	234.790039
403	140.802444	209.089111
404	133.985825	218.348999
405	136.886459	89.690033
406	137.848999	120.432625
407	213.145782	107.169243
408	225.643219	103.880569
409	228.080841	222.595703
410	191.032898	234.356796
411	217.678848	234.618652
412	154.275452	219.608994
413	239.215897	231.904877
414	232.812531	223.18364
415	219.78392	222.465088
416	227.970978	231.666626
417	232.878937	228.263611
418	222.439133	120.0354
419	238.572479	139.130188
420	225.105972	91.030518
421	240.50029	91.014893
422	231.866577	137.482773
423	206.780853	99.089363
424	154.334137	137.742218
425	239.499512	111.247406
426	225.562973	72.098579
427	240.485809	91.230057
428	244.203979	104.315002
429	237.547272	132.592148
430	232.721786	115.112701
431	228.827133	153.189789
432	231.494171	228.560287
433	232.731949	234.245544
434	231.039581	227.467163
435	229.34404	227.005188
436	223.927307	222.941772
437	240.433075	220.654266
438	232.232788	216.258926
439	228.596252	143.386124
440	240.679001	224.121002
441	219.968765	215.126022
442	237.943649	107.138924
443	220.859055	98.231949
444	223.442383	101.148148
445	237.082687	93.123512
446	203.457733	96.971458
447	116.745216	95.788986
448	84.51236	109.118362
449	96.018494	97.43325
450	121.56707	100.372009
451	171.719559	135.562897
452	227.748932	176.78389
453	229.530884	232.253036
454	226.323074	136.836334
455	230.873611	204.957993
456	138.216049	223.987991
457	82.337051	196.809311
458	114.673119	131.606659
459	112.286362	133.792007
460	91.778175	146.085922
461	131.649567	230.282761
462	232.435806	220.987198
463	219.573364	168.924225
464	227.910583	151.739029
465	222.343323	230.453888
466	228.158844	223.010239
467	227.592758	238.449402
468	235.350128	147.506729
469	228.021469	105.322731
470	231.728867	96.445503
471	236.980225	88.773079
472	174.325043	100.122017
473	139.507462	150.625137
474	97.993095	217.736191
475	99.995476	162.788239
476	94.924629	188.717545
477	83.577347	208.332779
478	149.218079	112.108124
479	230.007935	107.837074
480	222.146225	152.477112
481	232.31366	227.412277
482	145.933762	225.114441
483	204.255707	149.711823
484	221.191727	150.298798
485	233.941452	129.811966
486	217.743958	171.457123
487	175.734238	213.610245
488	91.300331	236.769028
489	77.25647	165.026047
490	70.927963	101.137939
491	71.540482	127.901787
492	122.08786	101.979019
493	128.613022	125.353531
494	99.51091	119.202332
495	130.897125	172.91687
496	148.948624	214.545563
497	160.362381	155.903168
498	230.970871	188.373642
499	224.698822	230.321808
500	227.33786	225.800522
501	229.351883	230.373032
502	222.778076	218.668869
503	231.359619	230.384262
504	221.102676	138.6604
505	228.790466	122.78093
506	228.163971	113.530403
507	145.450836	127.5364
508	130.50827	180.459839
509	121.283211	221.403656
510	133.648117	225.603775
511	100.648422	228.556381
512	103.9478	222.501083
513	214.614716	240.481323
514	227.937836	239.869324
515	155.975494	181.837173
516	100.113625	124.089493
517	75.811783	141.156479
518	146.762589	138.213196
519	115.558853	133.164658
520	179.438919	103.995094
521	244.487427	231.514297
522	230.782303	227.436951
523	245.961472	235.484573
524	168.669907	224.786133
525	135.293747	200.645035
526	144.660721	119.076653
527	143.178528	93.794983
528	151.300247	93.382339
529	207.502838	103.045639
530	226.855713	146.374603
531	231.133148	124.156898
532	229.409119	96.35408
533	240.127151	133.654083
534	197.683212	118.484291
535	120.604736	73.421913
536	109.896599	73.612839
537	97.521599	105.702827
538	201.56311	146.733246
539	210.021042	136.267181
540	131.666199	160.884537
541	107.236885	146.833939
542	95.26033	114.474922
543	96.620354	158.29422
544	134.541763	244.651428
545	98.889114	129.704376
546	111.297035	94.394394
547	136.776871	81.717857
548	246.007812	96.297836
549	166.823685	97.708481
550	131.923111	139.08786
551	90.273689	228.457108
552	123.534561	226.524902
553	229.385437	223.424973
554	191.547516	235.488708
555	175.277542	154.73468
556	234.026123	128.237015
557	179.683655	132.11171
558	135.162567	126.904572
559	134.208878	102.046539
560	119.682564	99.662888
561	94.875427	129.37616
562	76.657364	135.296524
563	94.11676	135.382339
564	157.422348	106.326973
565	233.930359	219.360764
566	218.409119	217.96405
567	231.986969	233.627075
568	114.559029	153.474274
569	99.930557	113.120407
570	97.737854	134.776138
571	108.025345	195.297714
572	97.551712	113.559258
573	113.123611	154.32782
574	168.588974	219.183517
575	247.939758	197.03952
576	175.010605	96.490517
577	196.405762	101.570923
578	227.315216	115.86515
579	116.269447	112.911392
580	130.549133	151.179871
581	136.508286	245.322723
582	149.171387	174.819397
583	108.54213	173.702362
584	140.180206	237.326675
585	135.406876	231.076324
586	136.156815	226.21611
587	105.096962	238.360641
588	105.704193	231.420563
589	140.914017	242.179169
590	201.520981	223.925369
591	236.675827	241.502869
592	236.238434	151.548447
593	223.898911	198.578659
594	237.456329	223.543015
595	156.285706	156.863037
596	168.825546	155.455063
597	156.844864	130.919403
598	154.159561	135.437149
599	148.166275	103.402184
600	97.104698	233.09346
601	154.204971	228.564178
602	240.189728	222.044647
603	120.070366	187.903275
604	157.699417	130.542999
605	109.248573	83.830376
606	144.761017	80.579926
607	142.03511	78.781494
608	126.930115	127.092468
609	165.248001	127.386932
610	164.217102	126.920464
611	156.403641	112.122398
612	121.507202	95.629723
613	133.22229	135.426102
614	138.207901	132.881577
615	138.919022	134.476349
616	140.089371	135.312027
617	143.277023	137.982437
618	124.003143	138.045288
619	91.102692	135.760071
620	90.198776	101.166206
621	175.22464	94.694969
622	237.863693	141.455444
623	139.565369	242.958801
624	236.34375	240.220673
625	217.732101	190.019226
626	154.777145	105.839157
627	145.042358	88.538773
628	235.18483	102.752205
629	237.502213	125.323097
630	212.267456	117.551964
631	132.561401	90.031082
632	115.274803	122.119499
633	231.371735	125.5392
634	231.426636	115.747604
635	238.177567	89.658852
636	223.181854	88.911423
637	232.64418	190.959946
638	220.549118	185.623062
639	176.695175	149.979553
640	126.03347	143.841156
641	141.122864	252.612045
642	245.916214	160.095734
643	243.192291	107.907333
644	254.781021	224.060837
645	169.319321	196.465103
646	130.761444	137.787521
647	159.482269	123.406296
648	242.266418	91.417389
649	213.391937	121.669868
