#MPI_Ssend		
#size[kB]	bandwidth[Mb/s]	bandwidth[Mb/s]
1139	227.420761	116.518883
1140	225.265259	161.185394
1141	200.889023	200.202698
1142	193.564987	271.360291
1143	193.243713	247.793106
1144	235.66832	274.355164
1145	220.373566	256.310913
1146	232.069748	266.791168
1147	189.629196	160.179413
1148	196.656815	227.132111
1149	232.909485	264.721924
1150	218.244751	139.604568
1151	207.62442	214.118408
1152	190.10643	268.166443
1153	130.807877	259.624634
1154	104.517624	261.683411
1155	102.063362	203.791122
1156	118.423782	133.325089
1157	152.924484	178.14946
1158	169.027359	262.657623
1159	174.932587	191.578247
1160	144.929398	187.557083
1161	145.847809	254.570328
1162	157.409058	261.308838
1163	163.501816	247.764008
1164	149.278488	266.270996
1165	167.618286	246.669891
1166	156.182922	231.014923
1167	146.164062	141.655609
1168	146.425766	143.496689
1169	167.40889	260.684784
1170	167.319229	241.475922
1171	171.47438	257.592468
1172	123.403442	161.238617
1173	125.044136	130.489532
1174	126.13163	182.944977
1175	114.3218	263.213318
1176	111.544739	244.789917
1177	94.749565	252.453537
1178	90.179771	248.637177
1179	122.501358	222.22847
1180	162.345276	127.950264
1181	214.399017	115.482613
1182	210.552277	105.84951
1183	207.461899	154.268005
1184	218.322708	158.203461
1185	205.546082	134.152588
1186	188.749176	188.480087
1187	154.035721	250.216675
1188	139.604095	249.708145
1189	126.902122	247.288345
1190	128.620865	251.645844
1191	115.907097	255.544556
1192	141.085724	252.803696
1193	140.72319	152.392548
1194	130.353226	155.811737
1195	143.973175	171.513382
1196	127.353043	175.962967
1197	95.134689	243.372742
1198	92.205635	134.9897
1199	156.030838	173.741211
1200	168.629471	169.675919
1201	163.624603	256.437469
1202	163.471786	131.21875
1203	124.549454	149.032639
1204	102.575172	115.744095
1205	101.084129	111.237007
1206	119.737366	123.473602
1207	128.235931	165.580048
1208	133.077621	253.64856
1209	120.786072	190.920288
1210	109.914131	188.75322
1211	109.350716	256.151642
1212	108.14769	243.33638
1213	86.380959	220.934097
1214	83.876541	126.683502
1215	126.724846	149.567139
1216	114.43335	249.708893
1217	122.701233	247.563843
1218	138.278122	163.769714
1219	131.197662	204.144104
1220	142.977936	248.470367
1221	128.669739	156.79451
1222	103.998085	153.843475
1223	128.418747	120.985016
1224	128.35611	96.387764
1225	114.308403	81.724312
1226	96.563187	78.349014
1227	110.983322	81.598923
1228	144.352173	86.963997
1229	131.896973	120.913475
1230	139.823715	163.247345
1231	123.884109	160.084503
1232	108.136604	219.729507
1233	112.571869	157.754807
1234	122.637688	250.326996
1235	118.508484	231.478043
1236	113.989166	159.993286
1237	122.436676	133.265152
1238	117.809753	109.187462
1239	104.863731	110.299789
1240	93.24118	150.216171
1241	96.26725	150.909805
1242	137.127411	148.043701
1243	132.73996	152.180374
1244	130.051956	135.25029
1245	111.003815	127.501221
1246	97.327271	230.719788
1247	127.314964	236.054291
1248	128.126251	241.683075
1249	128.576218	228.811996
1250	111.743065	239.241653
1251	102.056839	107.704811
1252	113.155464	155.193069
1253	131.703247	237.974182
1254	133.139832	227.147644
1255	121.979477	233.691833
1256	108.52858	236.983063
1257	128.650253	232.850494
1258	120.14341	230.119781
1259	123.793976	234.781006
1260	124.526436	225.380707
1261	119.650688	231.51973
1262	116.690895	230.952911
1263	111.21769	234.631607
1264	118.472328	232.794281
1265	99.853714	231.868652
1266	124.782013	238.179596
1267	113.494804	228.403152
1268	100.055679	235.348801
1269	92.571587	232.233429
1270	92.693771	226.324295
1271	92.977745	225.777588
1272	91.351013	239.102203
1273	104.912811	235.286423
1274	126.264816	225.871353
1275	125.220909	234.050293
1276	123.999474	235.167526
1277	123.587067	227.376068
1278	105.309181	242.13739
1279	103.457016	222.912003
1280	131.110367	232.019852
1281	128.79628	263.971588
1282	117.843552	268.547394
1283	142.897736	255.743805
1284	143.56575	268.317596
1285	129.142029	255.476654
1286	121.194855	261.401245
1287	141.299072	254.573425
1288	142.056274	271.072449
1289	125.051224	268.23053
1290	114.578201	258.598389
1291	125.165459	188.677536
1292	108.007538	167.863052
1293	94.628311	173.634491
1294	93.280968	182.710083
1295	99.762688	193.234802
1296	123.254761	267.013885
1297	135.534851	252.218613
1298	112.772957	244.654449
1299	91.927605	153.847641
1300	107.813232	163.580414
1301	144.447632	185.313873
1302	146.122955	192.965439
1303	142.92659	268.035553
1304	139.661621	187.717621
1305	122.6138	205.419495
1306	117.279022	262.278625
1307	124.211823	224.676849
1308	112.045456	175.474442
1309	114.851631	266.545105
1310	115.810089	212.172821
1311	123.148949	168.890717
1312	140.965408	168.99144
1313	121.500427	156.41925
1314	132.097351	152.8228
1315	141.018906	168.280792
1316	139.193619	268.815247
1317	143.956131	190.309357
1318	140.29303	176.902359
1319	151.819916	256.987793
1320	138.142807	262.094849
1321	140.622284	143.836288
1322	140.701187	258.90387
1323	147.721085	195.789551
1324	141.831406	107.949409
1325	119.33371	111.533394
1326	125.237358	104.283035
1327	124.450089	152.612061
1328	119.850014	150.214157
1329	136.228455	155.582077
1330	122.662529	171.142029
1331	122.145988	258.367188
1332	117.303253	157.355835
1333	115.054955	155.058884
1334	95.224594	156.837524
1335	90.30294	154.820923
1336	89.993416	147.414383
1337	120.134201	160.322922
1338	130.139465	117.048248
1339	120.543472	135.620148
1340	114.847466	146.81781
1341	108.908134	189.275146
1342	115.888123	254.361343
1343	123.528465	255.080078
1344	124.448517	208.440323
1345	129.260132	187.370667
1346	130.285294	259.580231
1347	135.60907	173.933044
1348	141.060867	133.0121
1349	114.073219	143.255981
1350	136.179031	241.587372
1351	144.347275	214.720749
1352	132.555222	156.737091
1353	135.917786	107.78241
1354	130.927109	108.33474
1355	132.585129	169.856812
1356	150.065689	113.496109
1357	157.579895	150.697998
1358	119.595078	133.664566
1359	112.274376	153.3284
1360	102.58709	242.031204
1361	105.794907	238.77179
1362	136.42215	254.638336
1363	151.76004	245.884506
1364	153.678879	159.380005
1365	161.059052	155.079025
1366	156.818832	150.801422
1367	150.051865	115.671989
1368	161.422836	109.893105
1369	158.765472	109.576118
1370	164.286179	112.91732
1371	119.982475	105.166855
1372	122.784348	116.814392
1373	113.119949	147.473083
1374	157.807999	141.084534
1375	155.348831	230.731049
1376	151.100494	246.451035
1377	136.560501	241.440125
1378	165.939682	248.432465
1379	157.391403	136.076202
1380	136.721039	134.644058
1381	144.727997	199.797256
1382	128.687073	250.072723
1383	121.077827	237.053879
1384	140.513351	238.196671
1385	137.991684	250.051651
1386	134.764069	184.139999
1387	153.109756	160.253235
1388	166.544479	239.329712
1389	149.842194	249.445847
1390	141.338715	238.753952
1391	161.603745	240.166
1392	138.935944	238.998657
1393	133.707718	243.047318
1394	131.510818	238.086823
1395	132.522507	159.061249
1396	132.01384	164.792145
1397	119.987152	170.189957
1398	125.55442	107.246071
1399	108.093933	101.829231
1400	104.999977	124.14399
1401	121.835533	173.426743
1402	133.202347	245.893692
1403	129.874771	195.797195
1404	135.523575	128.540894
1405	132.228165	107.655807
1406	141.450958	106.72757
1407	113.153175	112.063042
1408	111.565735	101.226997
1409	149.344009	133.398666
1410	128.087906	140.670273
1411	128.740341	112.533249
1412	151.989288	100.231659
1413	125.019356	179.140411
1414	131.461975	238.860168
1415	136.874466	249.319809
1416	129.843613	235.092896
1417	132.783401	241.664795
1418	132.551712	242.480713
1419	134.32486	232.763916
1420	135.223083	144.255615
1421	129.902817	143.362473
1422	115.855072	149.419022
1423	107.028404	117.502937
1424	124.812782	119.143333
1425	105.919273	170.113266
1426	117.516396	246.10759
1427	117.383438	130.573883
1428	114.352386	232.765854
1429	99.518822	160.021133
1430	121.51442	135.376877
1431	112.549706	154.698441
1432	123.56604	147.610748
1433	132.630142	126.023956
1434	130.117676	105.132156
1435	118.448158	79.188072
1436	111.711746	89.384476
1437	112.885635	104.657669
1438	120.901054	85.575684
1439	114.770233	94.300697
1440	107.710587	136.151688
1441	127.435799	243.093094
1442	123.68145	177.710724
1443	107.554497	105.269104
1444	107.858734	91.743019
1445	111.739647	113.310265
1446	125.355682	242.10437
1447	131.904388	104.40715
1448	128.458176	113.871719
1449	130.49675	165.59819
1450	125.449272	245.381378
1451	130.329071	217.215378
1452	112.324852	237.429611
1453	104.392723	236.927673
1454	108.209312	234.603394
1455	90.501732	235.017471
1456	87.369339	161.210022
1457	107.452065	155.972168
1458	117.119339	111.75293
1459	106.730721	141.74675
1460	96.645203	129.284988
1461	96.709244	228.626938
1462	129.337463	185.199326
1463	119.185272	191.090454
1464	94.602028	275.957153
1465	86.666763	214.310547
1466	96.454094	150.483688
1467	96.951477	160.2612
1468	111.645325	146.702011
1469	145.240616	166.148468
1470	136.49501	265.309052
1471	124.999977	267.154602
1472	112.729881	278.4198
1473	109.495453	138.282455
1474	111.267807	129.728851
1475	105.084351	117.133072
1476	107.798134	99.70562
1477	103.676369	100.945976
1478	104.419983	101.612198
1479	109.067291	98.097176
1480	142.088104	98.070824
1481	152.767136	99.648621
1482	155.077805	99.957764
1483	149.301682	97.925316
1484	115.846832	99.494827
1485	90.719604	98.020119
1486	125.284584	101.984627
1487	120.185455	98.748116
1488	118.674797	101.700806
1489	146.211136	97.610023
1490	128.961716	100.499741
1491	121.993805	99.169838
1492	146.251984	97.666252
1493	150.703964	98.518631
1494	129.865265	95.551155
1495	141.22699	100.102364
1496	131.506271	97.445694
1497	140.72319	131.870697
1498	130.485474	190.060349
1499	125.609978	273.787903
1500	121.361427	203.83049
1501	110.516167	185.504639
1502	145.544525	264.322174
1503	135.617355	262.636841
1504	140.298721	279.951294
1505	146.710342	277.3396
1506	151.403885	127.903831
1507	150.721832	118.244545
1508	134.659958	103.417702
1509	106.669212	123.422729
1510	143.383301	145.583176
1511	128.286926	255.917404
1512	127.83844	272.80957
1513	123.61129	197.219604
1514	109.257362	197.107925
1515	123.723137	271.849884
1516	150.512314	150.965958
1517	131.900238	236.800598
1518	119.905861	265.361084
1519	134.316315	257.09668
1520	143.259033	263.376099
1521	133.457932	264.927826
1522	126.363525	269.691559
1523	128.241516	158.241653
1524	126.539223	141.628052
1525	110.882721	177.489441
1526	105.406998	252.070816
1527	94.568466	261.544891
1528	90.856743	184.965942
1529	89.899551	185.481873
1530	91.709045	257.996307
1531	113.100281	264.890167
1532	145.005005	265.186188
1533	149.78862	252.538086
1534	135.141068	266.135406
1535	118.581566	252.363525
1536	144.1008	252.800461
1537	146.703354	261.544708
1538	143.484344	202.598297
1539	132.29068	195.032547
1540	115.659912	269.135437
1541	104.745491	251.817703
1542	114.700592	266.920197
1543	107.755272	167.291611
1544	117.241531	155.029144
1545	124.668427	209.336426
1546	110.5681	261.46521
1547	111.077782	261.277496
1548	108.124794	260.940002
1549	101.138062	250.467331
1550	127.080772	204.214554
1551	123.546021	149.171051
1552	143.326279	260.580322
1553	128.504761	136.060196
1554	134.948441	114.3218
1555	121.412102	96.645096
1556	141.687973	107.74704
1557	133.142944	137.287415
1558	106.206017	137.653336
1559	128.859344	148.310165
1560	139.321808	151.715714
1561	136.893219	130.112823
1562	124.39666	141.255951
1563	122.255737	158.209732
1564	132.071198	125.552025
1565	145.168427	103.39431
1566	113.946472	103.055611
1567	120.783897	109.920326
1568	112.05941	150.689209
1569	103.052284	158.854614
1570	105.410477	245.976074
1571	100.845825	214.723633
1572	96.849007	107.924927
1573	97.671394	113.23172
1574	141.163651	131.896774
1575	133.641846	159.992599
1576	110.631088	148.527451
1577	108.216606	97.211967
1578	108.290024	134.563232
1579	104.918716	122.942841
1580	134.633469	121.453194
1581	131.758636	181.961716
1582	125.233246	255.949234
1583	133.456543	130.803391
1584	132.051971	95.40757
1585	134.761139	118.508354
1586	133.286057	110.542747
1587	135.735855	121.111565
1588	133.210968	111.947479
1589	136.077576	182.640457
1590	136.346588	251.717957
1591	139.136246	204.276962
1592	143.311905	168.078903
1593	137.413422	254.819138
1594	133.37999	190.051727
1595	134.30481	167.034866
1596	137.046646	258.42392
1597	133.6633	155.578171
1598	133.500397	102.127045
1599	137.50267	115.805725
1600	127.541298	157.105194
1601	125.830284	154.452698
1602	130.193039	122.903168
1603	130.441452	153.18042
1604	134.638657	251.491562
1605	135.355087	147.395859
1606	137.504074	99.028503
1607	132.238174	111.431946
1608	117.165627	121.320183
1609	117.10936	130.137802
1610	117.486191	117.94297
1611	112.268555	133.591614
1612	116.335396	165.344894
1613	119.299896	247.668182
1614	110.239456	247.018738
1615	102.289497	251.962921
1616	125.136101	242.201019
1617	97.492836	251.607162
1618	103.515648	238.88942
1619	117.760674	251.238113
1620	106.533569	155.224365
1621	127.782059	214.367508
1622	117.821747	249.900818
1623	98.984421	241.349136
1624	97.691444	251.188461
1625	88.622437	253.093338
1626	123.973549	241.906097
1627	122.449051	253.548126
1628	126.485992	245.124329
1629	125.77491	200.102051
1630	121.680939	102.043556
1631	123.128433	149.520966
1632	126.60215	153.717529
1633	131.979874	153.652634
1634	122.121544	246.228226
1635	137.515396	244.270996
1636	125.310738	141.100677
1637	126.002701	145.174255
1638	145.056839	220.499268
1639	150.809967	236.750809
1640	129.887634	250.059479
1641	137.29921	208.702347
1642	129.733871	157.456116
1643	127.37088	118.258881
1644	135.865891	118.040054
1645	133.599915	150.028244
1646	124.39666	124.412529
1647	105.957603	143.063828
1648	103.48513	121.338036
1649	96.426323	105.207779
1650	132.37648	105.012657
1651	154.068954	103.17057
1652	147.557968	107.028435
1653	133.711502	102.489326
1654	117.63166	101.179901
1655	112.770264	104.736855
1656	125.18232	108.783745
1657	112.467278	143.609009
1658	97.42363	141.95723
1659	96.669258	139.703842
1660	96.503555	157.748657
1661	99.491852	145.297913
1662	93.512779	138.045502
1663	105.760628	218.18869
1664	93.66684	247.191971
1665	103.354881	240.828949
1666	133.342422	241.583893
1667	115.51812	184.549454
1668	101.306244	166.976593
1669	99.182739	159.021378
1670	115.662102	143.227478
1671	151.826019	116.773659
1672	238.78096	140.535065
1673	243.514923	118.378036
1674	239.341141	92.271683
1675	161.146378	105.63607
1676	158.63382	211.810532
1677	211.218811	236.247406
1678	250.889084	246.461716
1679	124.690804	154.878448
1680	150.617981	205.144958
1681	243.641693	237.5784
1682	165.410187	234.169357
1683	105.002045	232.453354
1684	217.212418	231.631607
1685	158.93483	182.510818
1686	149.125702	125.182693
1687	154.061249	100.801987
1688	150.970779	141.641083
1689	150.566406	153.142593
1690	148.162415	122.642578
1691	161.623367	146.668152
1692	129.233856	144.341797
1693	93.211288	94.294922
1694	120.442741	127.373543
1695	184.880447	240.728912
1696	241.912552	167.581451
1697	140.521225	124.801689
1698	123.253265	158.817093
1699	114.794617	150.218384
1700	181.540466	131.644348
1701	240.477707	113.558296
1702	148.027512	101.076088
1703	131.90506	107.775177
1704	150.284393	143.115509
1705	237.928116	127.120537
1706	200.072571	223.491196
1707	113.792206	281.605835
1708	141.117111	278.639923
1709	129.467667	282.942474
1710	141.54184	197.111282
1711	262.595551	189.917709
1712	279.655701	190.844284
1713	280.796326	179.693283
1714	277.13208	174.147797
1715	280.619965	168.769241
1716	279.604889	256.286255
1717	288.874359	284.771301
1718	202.562836	269.596222
1719	179.783783	289.278564
1720	284.867767	279.175446
1721	119.636185	270.325134
1722	112.714508	278.294647
1723	173.693283	155.12117
1724	120.882805	153.919556
1725	171.613388	239.762192
1726	165.874969	288.897247
1727	184.225632	270.02948
1728	126.689293	286.815521
1729	126.672073	273.526764
1730	116.440201	277.573395
1731	126.166489	270.528046
1732	134.045609	284.150574
1733	164.126495	270.249359
1734	231.757828	231.966751
1735	278.217346	145.172623
1736	163.014816	157.588257
1737	120.211067	187.54335
1738	125.169754	177.413422
1739	157.632004	156.513809
1740	142.968491	165.543701
1741	120.903801	152.353394
1742	136.444717	190.008041
1743	104.95491	192.63089
1744	124.681671	182.284271
1745	165.792755	182.017197
1746	221.204132	171.459305
1747	281.285004	181.073257
1748	275.274384	179.328827
1749	287.79361	177.341888
1750	262.285583	143.349365
1751	256.857361	144.515686
1752	187.075027	174.80719
1753	173.167267	181.204102
1754	115.890121	173.984894
1755	175.763519	157.182983
1756	170.116104	168.589645
1757	265.286407	272.827972
1758	282.182953	246.271957
1759	267.563843	174.041748
1760	273.392151	256.719604
1761	269.860107	249.480896
1762	279.69696	116.608208
1763	283.259216	123.201675
1764	273.409973	117.186417
1765	259.05658	159.464844
1766	276.205902	158.977448
1767	176.116013	168.994583
1768	138.30925	161.415222
1769	143.865707	194.452728
1770	156.077148	275.702301
1771	204.920074	237.174026
1772	269.186157	159.861877
1773	278.008514	271.668976
1774	268.231384	272.410034
1775	274.076843	212.210663
1776	205.192505	170.294998
1777	175.268753	274.205383
1778	272.309875	262.718079
1779	194.833908	273.552856
1780	172.294189	212.046249
1781	177.53743	155.992828
1782	234.603394	144.753403
1783	265.890137	151.913666
1784	193.748276	176.084213
1785	162.472549	167.557846
1786	279.833862	245.440979
1787	221.968857	267.969818
1788	159.841385	273.793488
1789	144.434067	257.926514
1790	174.11174	272.606567
1791	168.936386	218.030609
1792	200.594299	172.362869
1793	273.71106	172.65004
1794	163.121796	251.663406
1795	164.740204	239.405701
1796	167.976501	98.893608
1797	166.604843	88.319336
1798	202.288925	89.817398
1799	272.381287	89.559372
1800	196.177475	90.318932
1801	160.383301	90.2174
1802	175.589859	88.660049
1803	156.932587	91.895607
1804	276.611877	91.067307
1805	199.069351	89.895721
1806	175.379791	89.997757
1807	274.473663	117.595879
1808	145.585831	107.441673
1809	157.432327	124.594078
1810	139.349762	174.916534
1811	140.08078	146.625153
1812	140.424545	177.437073
1813	131.686142	136.369141
1814	127.717377	126.322426
1815	126.277214	159.302216
1816	130.907394	157.211334
1817	236.631104	161.458252
1818	264.067352	184.006195
1819	148.395493	274.945282
1820	140.11319	201.341888
1821	137.800598	147.595169
1822	146.273148	144.598755
1823	226.892517	261.00882
1824	218.835159	246.979828
1825	159.964539	170.92627
1826	265.381439	257.806793
1827	264.562469	267.052124
1828	266.050171	158.607132
1829	261.863312	155.103104
1830	262.529175	118.699982
1831	270.053192	120.003723
1832	166.970032	138.775391
1833	247.902206	143.207733
1834	264.891846	167.986771
1835	126.888641	181.927383
1836	125.487228	266.816833
1837	171.398346	189.631882
1838	240.660019	143.11319
1839	219.608856	133.999313
1840	113.681564	144.280106
1841	107.123016	159.829285
1842	95.895996	139.335693
1843	116.043945	197.555771
1844	93.599533	266.456207
1845	88.59153	190.306229
1846	99.516724	184.081512
1847	153.726486	184.559708
1848	266.640015	268.155945
1849	266.825958	263.403198
1850	264.559753	264.902496
1851	235.603287	260.188721
1852	170.614594	262.719727
1853	92.630745	255.212784
1854	118.993088	259.35553
1855	202.918442	254.313141
1856	265.424469	260.000214
1857	256.981079	253.943222
1858	155.263229	257.657135
1859	101.14138	160.801422
1860	107.543495	182.070129
1861	120.362465	160.857697
1862	121.32132	170.027573
1863	122.859741	230.631302
1864	127.271599	260.588013
1865	163.639679	258.709625
1866	116.585968	208.431
1867	171.154434	164.070236
1868	156.477676	140.622757
1869	149.984924	249.432495
1870	147.853745	254.567825
1871	138.95401	259.026978
1872	185.157318	250.294144
1873	201.214279	261.633606
1874	209.684799	153.924637
1875	141.517776	127.162354
1876	165.616745	90.355171
1877	173.28093	86.553665
1878	246.159042	86.979126
1879	256.210724	86.317963
1880	142.737869	86.785202
1881	154.400177	86.929771
1882	213.336731	95.134796
1883	259.495117	96.249191
1884	245.321289	120.603951
1885	257.570129	145.589554
1886	162.726654	215.053223
1887	204.108215	243.838577
1888	263.997559	252.345306
1889	242.108917	252.574005
1890	260.177826	257.520508
1891	195.322952	245.749435
1892	154.8806	160.301086
1893	151.582947	125.076813
1894	127.733711	155.704147
1895	136.479416	194.069778
1896	107.213173	258.730591
1897	166.238602	168.615997
1898	122.301544	158.033432
1899	116.752533	191.554413
1900	117.723778	257.880707
1901	126.248283	251.059143
1902	94.554955	263.532501
1903	93.906097	243.265991
1904	92.095139	259.334473
1905	89.950089	246.331085
1906	90.806831	142.66304
1907	92.181923	260.706055
1908	90.015099	129.251968
1909	90.819389	125.187408
1910	89.932899	125.554802
1911	114.367744	124.794075
1912	171.893295	117.419998
1913	249.568665	153.963974
1914	248.521347	151.858871
1915	251.753662	153.897385
1916	248.605484	151.202423
1917	142.185516	151.705963
1918	137.044968	153.986801
1919	140.771957	155.254166
1920	137.563599	152.415192
1921	248.421799	152.79921
1922	176.448944	116.331482
1923	121.398262	116.33963
1924	122.338379	84.901176
1925	121.486168	84.742081
1926	127.742271	105.877098
1927	123.179291	89.968613
1928	123.222122	106.204201
1929	126.349586	123.486549
1930	148.724365	122.495544
1931	174.219864	122.411972
1932	154.276367	107.473434
1933	162.731308	113.666733
1934	158.323044	89.555885
1935	144.121536	88.928596
1936	97.640045	90.980217
1937	93.685799	121.649353
1938	93.518692	94.339508
1939	92.582108	84.946426
1940	97.547905	84.993179
1941	121.35006	90.289383
1942	101.561638	88.249763
1943	85.126503	93.000008
1944	88.997566	123.303589
1945	88.04155	89.605843
1946	89.952744	112.614525
1947	118.447777	120.508057
1948	123.909775	115.68782
1949	104.847511	149.352112
1950	137.221054	143.161362
1951	117.135605	155.185822
1952	121.097626	148.034897
1953	111.763542	157.207642
1954	145.765182	146.236496
1955	137.873077	149.288849
1956	152.369095	140.567139
1957	164.819016	158.002838
1958	125.799004	153.649963
1959	93.108475	160.359848
1960	86.822235	130.190109
1961	110.219109	152.313629
1962	127.593338	251.388306
1963	169.993546	238.602173
1964	197.574844	252.282516
1965	180.814682	247.945084
1966	154.083252	249.902298
1967	156.240509	245.144562
1968	155.690216	251.373062
1969	135.99408	244.568329
1970	131.400406	243.828842
1971	144.675705	247.849106
1972	241.523209	239.21727
1973	198.187149	241.417725
1974	99.985497	180.566559
1975	114.26889	144.731918
1976	125.052155	122.778099
1977	124.920357	100.906143
1978	111.650299	138.254486
1979	94.956726	157.732407
1980	87.039886	212.21402
1981	104.65506	246.702728
1982	119.14727	140.356064
1983	117.79705	247.06694
1984	110.667213	184.059494
1985	83.548294	176.9505
1986	90.536041	247.512527
1987	92.894066	238.689743
1988	90.586884	154.187683
1989	93.09729	152.909302
1990	91.349442	164.827759
1991	97.994408	228.289703
1992	116.635406	211.852661
1993	157.947662	131.419434
1994	160.259903	92.466103
1995	150.536682	90.663788
1996	148.40239	92.590767
1997	153.086349	91.978638
1998	142.889526	100.975929
1999	105.310966	103.588158
2000	100.530426	88.91922
2001	117.020493	89.489464
2002	167.181427	92.700432
2003	239.637192	91.30825
2004	164.154449	91.865219
2005	196.461197	91.913353
2006	208.231934	106.205315
2007	156.707581	126.296509
2008	239.18367	133.475983
2009	246.870987	129.592026
2010	246.344833	129.976898
2011	223.117157	126.167198
2012	208.493561	118.380501
2013	154.03006	120.305809
2014	240.538559	120.798294
2015	174.120148	123.963516
2016	147.043961	107.594292
2017	140.992065	109.849396
2018	99.195869	117.922073
2019	139.505081	118.688896
2020	238.190918	112.375031
2021	160.439896	116.210175
2022	92.822266	110.03051
2023	92.098305	121.613068
2024	88.414215	112.366005
2025	127.508919	115.247047
2026	101.372444	118.062691
2027	121.003998	133.281555
2028	108.768791	126.920273
2029	126.313484	125.589668
2030	89.505981	103.041557
2031	93.196968	112.69603
2032	92.837158	135.668839
2033	93.637779	111.050171
2034	89.92704	106.996941
2035	90.724953	111.813667
2036	91.04245	118.718674
2037	92.76899	116.3992
2038	94.134262	105.17543
2039	85.713295	109.891632
2040	145.86937	106.989326
2041	140.940125	107.98481
2042	139.662384	131.39592
2043	114.523766	113.066551
2044	106.31356	129.380753
2045	111.490036	131.705475
2046	93.150734	132.164322
2047	104.779373	132.709198
2048	108.477631	111.562912
2049	131.228653	173.635666
2050	151.492752	161.832184
2051	144.524094	178.006744
2052	138.439926	154.979889
2053	222.948746	156.448563
2054	259.591888	155.518539
2055	151.615067	161.666428
2056	146.760727	158.790039
2057	191.405914	157.377747
2058	208.240601	148.341827
2059	258.501343	124.896782
2060	178.286896	122.289375
2061	151.574875	151.984329
2062	177.884918	150.82135
2063	179.703766	150.840942
2064	147.136688	135.517395
2065	145.174515	140.273621
2066	133.078949	142.97403
2067	171.302536	154.210571
2068	267.548706	138.233688
2069	268.454559	136.660568
2070	251.988281	145.829742
2071	241.123672	137.217743
2072	249.18779	143.446259
2073	264.156342	149.468735
2074	173.357117	149.717438
2075	139.243759	148.230759
2076	190.24968	145.585068
2077	235.253265	142.493286
2078	167.367462	147.140747
2079	165.061432	136.048172
2080	144.965088	122.976631
2081	131.927673	137.802979
2082	127.226044	138.842865
2083	141.484253	134.42215
2084	192.081406	143.632248
2085	114.497543	127.679665
2086	120.4981	142.908142
2087	118.173462	136.109268
2088	109.38633	137.224762
2089	110.547768	137.677734
2090	133.054565	129.811966
2091	165.398605	123.104179
2092	287.169464	147.402664
2093	284.174652	128.063309
2094	288.982819	143.288025
2095	297.042297	136.442841
2096	206.566742	140.296432
2097	141.686172	135.259232
2098	148.390244	146.682968
2099	155.229538	141.553543
2100	158.368851	136.990524
2101	193.592575	114.179344
2102	291.217255	136.521332
2103	273.912384	141.336273
2104	284.14624	138.772003
2105	289.916168	128.917709
2106	288.60553	128.541687
2107	284.155396	134.796539
2108	294.13382	138.171417
2109	281.019287	130.439117
2110	209.796494	136.056732
2111	184.469009	132.399048
2112	286.162903	134.812408
2113	283.78241	137.402267
2114	156.414658	136.863525
2115	118.911865	126.988335
2116	110.601738	105.22995
2117	109.258713	114.543938
2118	111.617577	118.100876
2119	109.582169	119.303627
2120	107.092621	105.865639
2121	109.582886	119.639427
2122	129.934219	123.051537
2123	158.296677	122.986458
2124	173.746887	127.527824
2125	177.662552	117.215767
2126	281.038116	128.991058
2127	278.563354	137.478104
2128	151.998444	125.817024
2129	150.711609	121.464272
2130	156.48381	116.401741
2131	154.050568	133.320007
2132	166.718079	130.216583
2133	182.632507	127.164574
2134	173.830673	116.499016
2135	134.21376	136.234436
2136	173.487259	130.476547
2137	126.690727	126.987129
2138	109.578049	131.438385
2139	138.894699	129.545441
2140	173.56282	134.962067
2141	192.880798	129.48735
2142	186.693863	114.565918
2143	185.300583	108.218948
2144	181.768127	120.862518
2145	201.061508	124.384857
2146	280.216187	126.4552
2147	285.688782	128.367462
2148	290.459229	111.724838
2149	269.028839	124.583809
2150	285.769318	113.762428
2151	267.114624	119.511292
2152	281.099091	108.987053
2153	237.903992	157.372223
2154	176.856567	137.401321
2155	151.343445	111.172401
2156	148.445053	125.808914
2157	146.860092	108.845322
2158	148.249741	121.910698
2159	256.972046	124.323792
2160	211.387939	109.228584
2161	113.805756	120.214859
2162	107.350273	125.953087
2163	114.529663	137.457779
2164	111.173653	139.441315
2165	111.243683	131.425674
2166	112.73848	114.699966
2167	110.001328	127.164375
2168	168.260284	140.381668
2169	174.656876	120.4478
2170	267.763702	116.468002
2171	213.222992	123.943413
2172	137.565079	136.831146
2173	172.84552	131.556183
2174	268.512146	133.566193
2175	223.715607	127.239845
2176	115.016068	116.748589
2177	178.297607	136.893951
2178	261.606262	133.699036
2179	259.448761	173.246399
2180	126.567673	163.108871
2181	143.561646	171.660522
2182	149.633377	146.864716
2183	156.324158	154.912064
2184	181.398453	164.837311
2185	179.942673	144.440033
2186	260.029846	146.661682
2187	232.581116	126.690727
2188	180.554718	137.615509
2189	257.570923	140.321075
2190	234.465851	154.603424
2191	136.01442	149.742966
2192	130.780914	149.125504
2193	148.663544	130.078979
2194	146.575195	143.243134
2195	115.966385	130.408691
2196	119.193779	133.108612
2197	118.200851	119.144981
2198	119.478775	128.970291
2199	121.882668	141.752502
2200	155.81514	141.416748
2201	128.874039	148.907837
2202	141.670151	145.53418
2203	262.310608	145.101257
2204	247.624313	136.362152
2205	267.863953	147.373596
2206	181.674438	140.934845
2207	114.463951	125.413689
2208	174.158371	141.389221
2209	240.493744	136.592194
2210	259.413483	134.847198
2211	162.621445	139.142487
