#MPI_Send				
#size[kB]	latency[ms]	bandwidth[Mb/s]	latency mavg	b mavg
116	4.1121	221.077042	5.90089145	194.37194985
117	4.178782	220.049835	5.9661519	193.16308445
118	4.221675	220.346802	6.02205605	192.3655068
119	4.248477	218.95668	6.08578305	191.18294455
120	4.260307	220.917511	6.16568455	189.6072915
121	4.261488	223.485535	6.45400615	184.0262555
122	4.271048	225.67189	6.6613442	179.45924725
123	4.466508	215.796204	6.73362585	177.8938008
124	4.356524	223.942245	6.7892772	177.2012524
125	4.527198	218.160187	6.84969755	176.1278996
126	4.79179	206.113876	6.9166991	174.95921595
127	5.023175	199.077255	6.9593267	174.7774403
128	21.281961	46.988152	6.99708325	174.85610545
129	10.822734	93.567696	6.21882055	182.6473282
130	5.619899	182.501694	5.95925515	188.41452675
131	5.789182	177.1651	6.13641165	185.70910225
132	5.62091	184.838577	6.3452682	182.84117625
133	5.442883	193.395966	6.67731445	178.46813435
134	5.399014	194.967377	6.6963038	179.2069748
135	5.322174	200.419373	6.72250385	179.69090575
136	5.417309	196.899734	6.76009295	179.6479591
137	5.296865	204.098282	6.7857652	180.17913435
138	5.496215	196.695557	6.8215966	180.2076179
139	5.846507	187.443619	6.8466702	180.7935226
140	10.026739	109.296791	6.8513753	181.9421493
141	8.408249	132.14537	6.76029395	184.0945125
142	5.716681	194.362961	6.6902766	186.54731175
143	5.579535	201.945236	6.7195759	186.90300405
144	5.564931	202.475189	6.74682165	187.3399334
145	5.867229	194.786514	6.77504045	187.74201775
146	5.644342	202.478363	6.79560495	188.2783848
147	5.778306	200.650558	6.818497	188.90042
148	5.716707	202.812607	6.8610498	188.7593075
149	5.631426	208.911667	6.8961302	189.0056187
150	9.163029	128.393204	6.9431347	188.70482905
151	9.966313	119.80658	7.18049675	187.07779085
152	12.261835	97.377739	7.14199375	188.4596611
153	5.82267	208.172775	6.847407	194.23371695
154	5.923015	204.645996	6.8749074	194.46371575
155	6.073956	199.56044	7.15582045	190.20696985
156	5.930754	207.523239	7.763757	184.01146855
157	6.013493	204.667953	8.11419605	178.965136
158	5.997687	208.413651	8.4235467	174.48358505
159	5.940609	210.416153	8.74587375	169.70209815
160	8.205112	152.344055	8.96540015	165.973906
161	7.007902	181.201355	8.9958087	166.4613526
162	6.302667	201.476807	9.1115019	165.06384285
163	6.12445	210.683823	9.550673	159.7247334
164	6.129307	210.516876	9.74423135	156.46645855
165	6.278519	205.513855	10.4041014	149.70365985
166	6.102183	214.919067	10.91322635	143.84611895
167	6.629362	197.828308	11.10487705	140.4203301
168	6.418315	207.738831	11.72455165	134.4228665
169	6.571516	202.895874	12.0328592	129.92207685
170	13.91027	95.85244	12.2015771	127.22500195
171	9.196253	147.443985	12.01238055	129.885389
172	6.3701	212.858856	12.29528945	127.5939431
173	6.372678	212.772751	12.5696307	123.31620035
174	11.541276	119.511078	12.93454105	118.1981782
175	18.232687	75.650414	12.8638013	119.8188546
176	12.939535	106.596588	12.63603715	121.66043285
177	12.200506	115.036934	12.65924105	122.0695843
178	12.444228	112.783913	12.50767855	124.87147145
179	10.331137	135.85231	12.2612583	129.66777615
180	8.813283	162.092987	12.23438	130.88361555
181	9.321766	153.25116	12.59724235	127.6594136
182	15.086089	94.694618	12.72019005	126.78761185
183	9.995617	145.518326	12.62092875	128.15934915
184	19.326708	75.260902	12.71287875	127.6432633
185	16.461018	88.363037	12.11401435	134.76543165
186	9.935197	146.40329	11.9597757	136.4500874
187	19.022854	77.879036	11.89450455	138.58934215
188	12.584466	117.723038	11.31999875	145.5324402
189	9.945874	148.954376	11.0770133	150.21395415
190	10.126339	149.060181	10.98896855	152.9474869
191	14.854431	101.615067	10.8618859	156.48152925
192	11.856925	127.304001	10.49850395	162.38477705
193	13.670885	110.412308	10.28535145	166.9933334
194	10.126481	151.924606	9.99764985	171.9987861
195	13.677404	112.481979	10.0328203	172.2610275
196	13.403613	114.779617	9.9751063	173.4328674
197	9.169256	171.074677	9.7143725	178.08673475
198	7.515823	208.710007	9.664464	179.9485534
199	9.793571	160.169098	9.69087615	180.32307275
200	16.07053	97.608948	9.6205204	182.68330225
201	11.78072	135.815125	9.26820365	187.43878625
202	13.100863	122.129364	9.11633505	190.5934783
203	11.834617	135.196609	8.87276585	195.05347815
204	7.34942	217.704269	8.6846117	199.30628655
205	13.376245	122.056152	8.7462841	198.77762215
206	8.629774	189.188385	8.48043845	203.7041267
207	7.532738	216.740997	8.45665185	205.14591215
208	7.724757	211.353317	8.6224652	202.5021385
209	8.184979	203.625031	8.67296035	202.34233015
210	7.584686	219.741028	8.6746261	203.2228744
211	7.586792	219.680023	8.72217705	202.88627235
212	7.593875	219.475128	8.78402265	202.2050979
213	7.916853	210.521362	8.82055055	202.15209575
214	10.82989	157.169434	8.8474717	202.6278274
215	12.523124	135.918777	8.72717715	205.81200325
216	8.188937	207.856964	8.51455355	210.2634559
217	8.171086	208.31105	8.53759275	210.62508845
218	8.044066	216.200394	8.5533595	211.1709602
219	8.386456	207.373688	8.5944806	210.85249705
